,predicted_mean
2024-02-29,61.97156031074702
2024-03-31,54.58210467996329
2024-04-30,52.394502184176076
2024-05-31,63.800155364336824
2024-06-30,59.29550993991322
2024-07-31,54.98896590295753
2024-08-31,53.951349287333954
2024-09-30,58.6749039362637
2024-10-31,56.37774160861491
2024-11-30,56.10796860627523
2024-12-31,57.84301165105313
2025-01-31,54.8655809854723
2025-02-28,47.698762016200064
2025-03-31,43.247422229792264
2025-04-30,41.67413664176462
2025-05-31,43.765407204356464
2025-06-30,40.853831728182925
2025-07-31,43.782281055323324
2025-08-31,45.15195193288035
2025-09-30,45.002837692398884
2025-10-31,40.65141339413242
2025-11-30,43.27281996427288
2025-12-31,47.07325717892002
2026-01-31,42.801484482514574
2026-02-28,42.588023877556424
2026-03-31,49.551374006231875
2026-04-30,48.29538814374275
2026-05-31,46.36708811717228
2026-06-30,42.757978742623116
2026-07-31,42.032741861945055
2026-08-31,39.132488490711985
2026-09-30,40.1265132137278
2026-10-31,40.876333831708926
2026-11-30,41.16735865924389
2026-12-31,39.69858930117189
2027-01-31,38.345090198820756
