DATE,IR
2012-01-01,3.906
2012-02-01,3.7461
2012-03-01,3.2821
2012-04-01,3.3809
2012-05-01,3.527
2012-06-01,3.4056
2012-07-01,3.2481
2012-08-01,3.0094
2012-09-01,2.4178
2012-10-01,2.3055
2012-11-01,2.2467
2012-12-01,2.099
2013-01-01,2.393
2013-02-01,2.8582
2013-03-01,3.0276
2013-04-01,2.8552
2013-05-01,2.6856
2013-06-01,3.0709
2013-07-01,3.1011
2013-08-01,3.0967
2013-09-01,3.407
2013-10-01,3.1626
2013-11-01,3.1712
2013-12-01,3.3132
2014-01-01,3.2124
2014-02-01,3.0887
2014-03-01,2.8865
2014-04-01,2.6103
2014-05-01,2.555
2014-06-01,2.2757
2014-07-01,2.1583
2014-08-01,1.9899
2014-09-01,1.8485
2014-10-01,1.6899
2014-11-01,1.6171
2014-12-01,1.4475
2015-01-01,1.2678
2015-02-01,1.2107
2015-03-01,0.952
2015-04-01,0.8509
2015-05-01,1.3326
2015-06-01,1.6651
2015-07-01,1.5286
2015-08-01,1.3923
2015-09-01,1.4809
2015-10-01,1.2032
2015-11-01,1.1532
2015-12-01,1.1933
2016-01-01,1.1129
2016-02-01,1.0397
2016-03-01,0.9306
2016-04-01,0.9614
2016-05-01,0.971
2016-06-01,0.883
2016-07-01,0.6209
2016-08-01,0.6133
2016-09-01,0.7341
2016-10-01,0.7703
2016-11-01,1.2307
2016-12-01,1.2851
2017-01-01,1.3088
2017-02-01,1.4378
2017-03-01,1.4543
2017-04-01,1.2598
2017-05-01,1.1732
2017-06-01,1.0706
2017-07-01,1.2068
2017-08-01,1.0441
2017-09-01,1.1149
2017-10-01,1.1489
2017-11-01,0.9467
2017-12-01,0.8786
2018-01-01,1.0321
2018-02-01,1.2695
2018-03-01,1.1688
2018-04-01,1.1261
2018-05-01,1.2344
2018-06-01,1.2885
2018-07-01,1.1986
2018-08-01,1.3656
2018-09-01,1.32
2018-10-01,1.5554
2018-11-01,1.4058
2018-12-01,1.2121
2019-01-01,1.2022
2019-02-01,1.1199
2019-03-01,0.9908
2019-04-01,0.951
2019-05-01,0.8711
2019-06-01,0.574
2019-07-01,0.3569
2019-08-01,0.0992
2019-09-01,0.0478
2019-10-01,0.1325
2019-11-01,0.3016
2019-12-01,0.3662
2020-01-01,0.3162
2020-02-01,0.1333
2020-03-01,0.3682
2020-04-01,0.5538
2020-05-01,0.4784
2020-06-01,0.3505
2020-07-01,0.2207
2020-08-01,0.1605
2020-09-01,0.123
2020-10-01,0.0005
2020-11-01,-0.0553
2020-12-01,-0.0915
2021-01-01,-0.0636
2021-02-01,0.0643
2021-03-01,0.1479
2021-04-01,0.2051
2021-05-01,0.377
2021-06-01,0.3039
2021-07-01,0.164
2021-08-01,0.0598
2021-09-01,0.1967
2021-10-01,0.3523
2021-11-01,0.3123
2021-12-01,0.2791
2022-01-01,0.534
2022-02-01,0.9442
2022-03-01,1.0542
2022-04-01,1.5682
2022-05-01,1.8742
2022-06-01,2.4373
2022-07-01,2.0925
2022-08-01,2.0582
2022-09-01,2.8138
2022-10-01,3.185
2022-11-01,2.9341
2022-12-01,3.0002
2023-01-01,3.0442
2023-02-01,3.223
2023-03-01,3.2328
2023-04-01,3.1929
2023-05-01,3.2059
2023-06-01,3.1647
2023-07-01,3.2688
2023-08-01,3.3432
2023-09-01,3.5056
2023-10-01,3.72
2023-11-01,3.42
2023-12-01,2.87
2024-01-01,2.87
